Unnamed: 0,Polymer,Polymer_SMILES,T_K,P_Mpa,exp_CO2_sol_g_g,pred_CO2_sol_g_g,train/test,Polymer_BRICS
0,PBS,COCCCCOC(=O)CCC(C)=O,323.15,1.025,0.00984,0.00987,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
1,PBS,COCCCCOC(=O)CCC(C)=O,323.15,2.209,0.02063,0.02061,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
2,PBS,COCCCCOC(=O)CCC(C)=O,323.15,3.068,0.02826,0.02828,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
3,PBS,COCCCCOC(=O)CCC(C)=O,323.15,4.245,0.03879,0.03877,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
4,PBS,COCCCCOC(=O)CCC(C)=O,323.15,6.272,0.05681,0.05677,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
5,PBS,COCCCCOC(=O)CCC(C)=O,323.15,8.008,0.073,0.07301,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
6,PBS,COCCCCOC(=O)CCC(C)=O,323.15,10.129,0.1076,0.10754,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
7,PBS,COCCCCOC(=O)CCC(C)=O,353.15,1.148,0.00876,0.00872,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
8,PBS,COCCCCOC(=O)CCC(C)=O,353.15,2.103,0.01523,0.01524,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
9,PBS,COCCCCOC(=O)CCC(C)=O,353.15,3.158,0.02243,0.02237,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
11,PBS,COCCCCOC(=O)CCC(C)=O,353.15,6.169,0.04332,0.04339,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
12,PBS,COCCCCOC(=O)CCC(C)=O,353.15,8.05,0.05601,0.05597,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
14,PBS,COCCCCOC(=O)CCC(C)=O,393.15,8.076,0.07357,0.07352,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
15,PBS,COCCCCOC(=O)CCC(C)=O,393.15,8.928,0.0813,0.08138,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
16,PBS,COCCCCOC(=O)CCC(C)=O,393.15,12.076,0.1098,0.10978,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
17,PBS,COCCCCOC(=O)CCC(C)=O,393.15,12.606,0.1146,0.11457,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
18,PBS,COCCCCOC(=O)CCC(C)=O,393.15,16.544,0.1481,0.14815,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
19,PBS,COCCCCOC(=O)CCC(C)=O,393.15,19.987,0.1761,0.17605,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
20,PBS,COCCCCOC(=O)CCC(C)=O,423.15,2.221,0.01501,0.01509,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
21,PBS,COCCCCOC(=O)CCC(C)=O,423.15,2.935,0.01993,0.01994,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
22,PBS,COCCCCOC(=O)CCC(C)=O,423.15,4.705,0.03216,0.03214,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
23,PBS,COCCCCOC(=O)CCC(C)=O,423.15,6.035,0.04145,0.04139,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
26,PBS,COCCCCOC(=O)CCC(C)=O,423.15,8.696,0.06041,0.06036,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
27,PBS,COCCCCOC(=O)CCC(C)=O,423.15,12.036,0.08309,0.0832,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
28,PBS,COCCCCOC(=O)CCC(C)=O,423.15,12.572,0.08733,0.08725,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
30,PBS,COCCCCOC(=O)CCC(C)=O,423.15,16.541,0.1139,0.11388,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
31,PBS,COCCCCOC(=O)CCC(C)=O,423.15,20.095,0.1355,0.13556,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
32,PBS,COCCCCOC(=O)CCC(C)=O,453.15,2.133,0.01192,0.01188,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
33,PBS,COCCCCOC(=O)CCC(C)=O,453.15,2.798,0.01566,0.0157,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
34,PBS,COCCCCOC(=O)CCC(C)=O,453.15,4.627,0.02604,0.02609,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
36,PBS,COCCCCOC(=O)CCC(C)=O,453.15,8.037,0.04534,0.0454,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
37,PBS,COCCCCOC(=O)CCC(C)=O,453.15,8.57,0.0484,0.04844,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
38,PBS,COCCCCOC(=O)CCC(C)=O,453.15,12.007,0.0683,0.06821,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
39,PBS,COCCCCOC(=O)CCC(C)=O,453.15,12.592,0.07153,0.07161,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
40,PBS,COCCCCOC(=O)CCC(C)=O,453.15,16.071,0.09082,0.0909,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
41,PBS,COCCCCOC(=O)CCC(C)=O,453.15,16.574,0.09367,0.09363,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
42,PBS,COCCCCOC(=O)CCC(C)=O,453.15,20.144,0.1126,0.11255,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
43,PBSA,COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(C)=O,323.15,1.098,0.01259,0.01259,train,"['CC(=O)CCC=O', 'O=CCCCCC=O', 'O', 'CO', 'CCCC']"
