Unnamed: 0,smiles,property,value,Augmented_SMILES
824,[*]CC([*])CC,Egc,6.517,"['*CC(*)CC', 'CCC(C*)*', 'C(C)C(C*)*', '*C(CC)C*', 'C(C)C(*)C*']"
825,[*]CC([*])CCC,Egc,6.7336,"['C(C(*)CCC)*', '*C(CCC)C*', 'C(C)CC(*)C*', '*CC(*)CCC', '*C(C*)CCC']"
826,[*]CC([*])CC(C)C,Egc,6.7394,"['C(CC(C*)*)(C)C', 'C(CC(C)C)(C*)*', 'C(*)C(CC(C)C)*', 'CC(CC(C*)*)C', '*C(C*)CC(C)C']"
827,[*]CC1CCC([*])C1,Egc,6.9613,"['*CC1CC(*)CC1', 'C1C(CC(*)C1)C*', 'C(*)C1CCC(C1)*', 'C1C(CC(C1)*)C*', 'C1CC(*)CC1C*']"
828,[*]CC([*])CCCC1CCCCC1,Egc,6.3703,"['C(CCC1CCCCC1)C(C*)*', 'C1C(CCCC(C*)*)CCCC1', 'C(C(*)CCCC1CCCCC1)*', 'C(C1CCCCC1)CCC(*)C*', 'C(CCCC1CCCCC1)(*)C*']"
830,[*]C=CCC[*],Egc,5.2133,"['C(=CCC*)*', '*C=CCC*', 'C(CC=C*)*', '*CCC=C*', 'C(*)CC=C*']"
831,[*]C=C[*],Egc,1.3994,"['C(*)=C*', '*C=C*', 'C(=C*)*']"
832,[*]CCC(C)C([*])C,Egc,6.6781,"['CC(C(*)C)CC*', 'C(C)(C(C)CC*)*', '*C(C(C)CC*)C', 'C(*)CC(C(*)C)C', '*CCC(C(C)*)C']"
833,[*]C=CCCCCCCCC[*],Egc,5.8277,"['C(CCCCCC*)CC=C*', '*CCCCCCCCC=C*', 'C(*)=CCCCCCCCC*', '*C=CCCCCCCCC*', 'C(CCC=C*)CCCCC*']"
835,[*]C=CCCCCCC[*],Egc,5.8437,"['C(*)CCCCCC=C*', '*CCCCCCC=C*', 'C(CCC=C*)CCC*', 'C(C*)CCCCC=C*', '*C=CCCCCCC*']"
836,[*]C=CCCCC[*],Egc,5.7726,"['*CCCCC=C*', 'C(=C*)CCCC*', '*C=CCCCC*', 'C(=CCCCC*)*', 'C(CC=C*)CC*']"
837,[*]C1CCC1[*],Egc,6.0897,"['*C1C(*)CC1', '*C1CCC1*', 'C1(*)C(*)CC1', 'C1(CCC1*)*', 'C1C(*)C(*)C1']"
838,[*]C=CCCCCC[*],Egc,5.8026,"['*CCCCCC=C*', 'C(=CCCCCC*)*', 'C(CC*)CCC=C*', 'C(CCCCC*)=C*', 'C(*)=CCCCCC*']"
839,[*]C=CC1CCC([*])C1,Egc,5.4117,"['C1(C=C*)CCC(C1)*', 'C1(*)CCC(C=C*)C1', '*C1CCC(C1)C=C*', '*C1CC(CC1)C=C*', 'C1CC(C=C*)CC1*']"
840,[*]C=CC(C[*])C(C)CC,Egc,4.9643,"['CC(CC)C(C=C*)C*', 'C(*)C(C(C)CC)C=C*', 'C(C(C(C)CC)C*)=C*', '*CC(C(C)CC)C=C*', '*C=CC(C*)C(CC)C']"
