Unnamed: 0,smiles,property,value,polymer_automated_frag,polymer_automated_frag_aug
824,[*]CC([*])CC,Egc,6.517,"['C', 'CCC']","[['C', 'CCC'], ['CCC', 'C']]"
825,[*]CC([*])CCC,Egc,6.7336,"['C', 'CCCC']","[['C', 'CCCC'], ['CCCC', 'C']]"
826,[*]CC([*])CC(C)C,Egc,6.7394,"['C', 'CCC(C)C']","[['C', 'CCC(C)C'], ['CCC(C)C', 'C']]"
827,[*]CC1CCC([*])C1,Egc,6.9613,"['C', 'C1CCCC1']","[['C', 'C1CCCC1'], ['C1CCCC1', 'C']]"
828,[*]CC([*])CCCC1CCCCC1,Egc,6.3703,"['C', 'CCCCC1CCCCC1']","[['C', 'CCCCC1CCCCC1'], ['CCCCC1CCCCC1', 'C']]"
830,[*]C=CCC[*],Egc,5.2133,"['C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C']]"
831,[*]C=C[*],Egc,1.3994,"['C', 'C']","[['C', 'C'], ['C', 'C']]"
832,[*]CCC(C)C([*])C,Egc,6.6781,"['C', 'C', 'CC', 'CC']","[['C', 'C', 'CC', 'CC'], ['CC', 'C', 'C', 'CC'], ['CC', 'CC', 'C', 'C'], ['C', 'CC', 'CC', 'C']]"
833,[*]C=CCCCCCCCC[*],Egc,5.8277,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']]"
835,[*]C=CCCCCCC[*],Egc,5.8437,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']]"
836,[*]C=CCCCC[*],Egc,5.7726,"['C', 'C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C']]"
837,[*]C1CCC1[*],Egc,6.0897,['C1CCC1'],[['C1CCC1']]
838,[*]C=CCCCCC[*],Egc,5.8026,"['C', 'C', 'C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C']]"
839,[*]C=CC1CCC([*])C1,Egc,5.4117,"['C', 'C', 'C1CCCC1']","[['C', 'C', 'C1CCCC1'], ['C1CCCC1', 'C', 'C'], ['C', 'C1CCCC1', 'C']]"
840,[*]C=CC(C[*])C(C)CC,Egc,4.9643,"['C', 'C', 'CCC(C)C', 'C']","[['C', 'C', 'CCC(C)C', 'C'], ['C', 'C', 'C', 'CCC(C)C'], ['CCC(C)C', 'C', 'C', 'C'], ['C', 'CCC(C)C', 'C', 'C']]"
841,[*]CC1([*])CCCCC1,Egc,6.3291,"['C', 'C1CCCCC1']","[['C', 'C1CCCCC1'], ['C1CCCCC1', 'C']]"
842,[*]CC([*])c1ccccc1C(=O)OC,Egc,5.0713,"['C', 'Cc1ccccc1C(=O)OC']","[['C', 'Cc1ccccc1C(=O)OC'], ['Cc1ccccc1C(=O)OC', 'C']]"
843,[*]CC([*])c1ccccc1Cl,Egc,2.4139,"['C', 'Cc1ccccc1Cl']","[['C', 'Cc1ccccc1Cl'], ['Cc1ccccc1Cl', 'C']]"
844,[*]CC([*])c1cccc(C)c1,Egc,5.185,"['C', 'Cc1cccc(C)c1']","[['C', 'Cc1cccc(C)c1'], ['Cc1cccc(C)c1', 'C']]"
