Unnamed: 0,smiles,property,value,polymer_automated_frag,polymer_automated_frag_aug
822,[*]C[*],Egc,6.8972,['C'],[['C']]
823,[*]CC([*])C,Egc,6.5196,"['C', 'CC']","[['C', 'CC'], ['CC', 'C']]"
826,[*]CC([*])CC(C)C,Egc,6.7394,"['C', 'CCC(C)C']","[['C', 'CCC(C)C'], ['CCC(C)C', 'C']]"
828,[*]CC([*])CCCC1CCCCC1,Egc,6.3703,"['C', 'CCCCC1CCCCC1']","[['C', 'CCCCC1CCCCC1'], ['CCCCC1CCCCC1', 'C']]"
829,[*]C=CCCC[*],Egc,4.6373,"['C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C']]"
830,[*]C=CCC[*],Egc,5.2133,"['C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C']]"
831,[*]C=C[*],Egc,1.3994,"['C', 'C']","[['C', 'C'], ['C', 'C']]"
833,[*]C=CCCCCCCCC[*],Egc,5.8277,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']]"
834,[*]C=CCCCCCCCCCC[*],Egc,5.8787,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']]"
835,[*]C=CCCCCCC[*],Egc,5.8437,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']]"
836,[*]C=CCCCC[*],Egc,5.7726,"['C', 'C', 'C', 'C', 'C', 'C']","[['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C'], ['C', 'C', 'C', 'C', 'C', 'C']]"
837,[*]C1CCC1[*],Egc,6.0897,['C1CCC1'],[['C1CCC1']]
840,[*]C=CC(C[*])C(C)CC,Egc,4.9643,"['C', 'C', 'CCC(C)C', 'C']","[['C', 'C', 'CCC(C)C', 'C'], ['C', 'C', 'C', 'CCC(C)C'], ['CCC(C)C', 'C', 'C', 'C'], ['C', 'CCC(C)C', 'C', 'C']]"
841,[*]CC1([*])CCCCC1,Egc,6.3291,"['C', 'C1CCCCC1']","[['C', 'C1CCCCC1'], ['C1CCCCC1', 'C']]"
